Category		Avg_in_60s	Difficulty
Körperteile	Body parts	23.4583333333333	EASY
Tiere	Animals	22.75	EASY
Sportarten	Sports	20.6666666666667	EASY
Kleidungsstücke	Articles of clothing	20.0416666666667	EASY
Lebensmittel	Food	19.7916666666667	EASY
Autoteile	Car parts	18.9583333333333	EASY
Berufe	Professions	18.4583333333333	EASY
Früchte	Fruit	17.4166666666667	EASY
Musikinstrumente	Musical instruments	16.875	EASY
Getränke	Beverages	15.625	EASY
Gemüse	Vegetables	15.4583333333333	EASY
Gewürze	Spices	14.4583333333333	EASY
Bäume	Trees	13.3333333333333	HARD
Möbel	Furniture	13.0833333333333	HARD
Geschirr	Tableware	12.5416666666667	HARD
Kosmetik	Cosmetics	12.875	HARD
Werkzeug	Tools	12.375	HARD
Spielzeug	Toys	10.5	HARD
Gartengeräte	Gardening tools	10.25	HARD
Insekten	Insects	10.1666666666667	HARD
Blumen	Flowers	10.0416666666667	HARD
Fische	Fish	9.58333333333333	HARD
Metalle	Metals	9.45833333333333	HARD
Süßigkeiten	Sweets	9.08333333333333	HARD