condition,subject,category,switches
dual,9,Berufe,17
dual,28,Berufe,13
dual,14,Berufe,10
dual,27,Berufe,16
dual,22,Berufe,8
dual,16,Berufe,8
dual,9,Getränke,19
dual,28,Getränke,12
dual,14,Getränke,15
dual,27,Getränke,13
dual,22,Getränke,8
dual,16,Getränke,3
dual,9,Kleidungsstücke,14
dual,28,Kleidungsstücke,8
dual,14,Kleidungsstücke,17
dual,27,Kleidungsstücke,9
dual,22,Kleidungsstücke,11
dual,16,Kleidungsstücke,5
dual,9,Geschirr,15
dual,28,Geschirr,10
dual,14,Geschirr,11
dual,27,Geschirr,7
dual,22,Geschirr,4
dual,16,Geschirr,2
dual,9,Insekten,5
dual,28,Insekten,6
dual,14,Insekten,6
dual,27,Insekten,9
dual,22,Insekten,9
dual,16,Insekten,5
dual,9,Kosmetik,15
dual,28,Kosmetik,10
dual,14,Kosmetik,10
dual,27,Kosmetik,9
dual,22,Kosmetik,7
dual,16,Kosmetik,3
dual,29,Autoteile,5
dual,23,Autoteile,12
dual,15,Autoteile,11
dual,26,Autoteile,11
dual,17,Autoteile,7
dual,8,Autoteile,20
dual,29,Gewürze,9
dual,23,Gewürze,2
dual,15,Gewürze,11
dual,26,Gewürze,6
dual,17,Gewürze,7
dual,8,Gewürze,18
dual,29,Lebensmittel,15
dual,23,Lebensmittel,9
dual,15,Lebensmittel,19
dual,26,Lebensmittel,8
dual,17,Lebensmittel,12
dual,8,Lebensmittel,28
dual,29,Bäume,8
dual,23,Bäume,5
dual,15,Bäume,10
dual,26,Bäume,9
dual,17,Bäume,3
dual,8,Bäume,11
dual,29,Blumen,5
dual,23,Blumen,4
dual,15,Blumen,14
dual,26,Blumen,6
dual,17,Blumen,3
dual,8,Blumen,21
dual,29,Werkzeug,5
dual,23,Werkzeug,9
dual,15,Werkzeug,5
dual,26,Werkzeug,6
dual,17,Werkzeug,1
dual,8,Werkzeug,21
dual,19,Früchte,7
dual,12,Früchte,8
dual,21,Früchte,8
dual,24,Früchte,15
dual,30,Früchte,10
dual,10,Früchte,6
dual,19,Sportarten,7
dual,12,Sportarten,10
dual,21,Sportarten,18
dual,24,Sportarten,18
dual,30,Sportarten,12
dual,10,Sportarten,8
dual,19,Tiere,13
dual,12,Tiere,13
dual,21,Tiere,19
dual,24,Tiere,23
dual,30,Tiere,20
dual,10,Tiere,7
dual,19,Fische,3
dual,12,Fische,7
dual,21,Fische,10
dual,24,Fische,10
dual,30,Fische,3
dual,10,Fische,5
dual,19,Metalle,5
dual,12,Metalle,3
dual,21,Metalle,14
dual,24,Metalle,13
dual,30,Metalle,9
dual,10,Metalle,5
dual,19,Süßigkeiten,0
dual,12,Süßigkeiten,2
dual,21,Süßigkeiten,6
dual,24,Süßigkeiten,10
dual,30,Süßigkeiten,2
dual,10,Süßigkeiten,10
dual,31,Gemüse,16
dual,20,Gemüse,6
dual,11,Gemüse,8
dual,18,Gemüse,7
dual,25,Gemüse,10
dual,13,Gemüse,1
dual,31,Körperteile,21
dual,20,Körperteile,13
dual,11,Körperteile,15
dual,18,Körperteile,12
dual,25,Körperteile,8
dual,13,Körperteile,10
dual,31,Musikinstrumente,12
dual,20,Musikinstrumente,13
dual,11,Musikinstrumente,6
dual,18,Musikinstrumente,5
dual,25,Musikinstrumente,7
dual,13,Musikinstrumente,9
dual,31,Gartengeräte,7
dual,20,Gartengeräte,4
dual,11,Gartengeräte,4
dual,18,Gartengeräte,3
dual,25,Gartengeräte,4
dual,13,Gartengeräte,2
dual,31,Möbel,9
dual,20,Möbel,6
dual,11,Möbel,7
dual,18,Möbel,4
dual,25,Möbel,11
dual,13,Möbel,4
dual,31,Spielzeug,9
dual,20,Spielzeug,6
dual,11,Spielzeug,8
dual,18,Spielzeug,0
dual,25,Spielzeug,1
dual,13,Spielzeug,7
sham,9,Gemüse,11
sham,29,Gemüse,18
sham,19,Gemüse,9
sham,15,Gemüse,15
sham,24,Gemüse,12
sham,22,Gemüse,10
sham,9,Körperteile,21
sham,29,Körperteile,14
sham,19,Körperteile,18
sham,15,Körperteile,27
sham,24,Körperteile,10
sham,22,Körperteile,8
sham,9,Musikinstrumente,13
sham,29,Musikinstrumente,9
sham,19,Musikinstrumente,4
sham,15,Musikinstrumente,11
sham,24,Musikinstrumente,16
sham,22,Musikinstrumente,13
sham,9,Gartengeräte,9
sham,29,Gartengeräte,2
sham,19,Gartengeräte,6
sham,15,Gartengeräte,15
sham,24,Gartengeräte,10
sham,22,Gartengeräte,6
sham,9,Möbel,13
sham,29,Möbel,10
sham,19,Möbel,11
sham,15,Möbel,15
sham,24,Möbel,12
sham,22,Möbel,12
sham,9,Spielzeug,12
sham,29,Spielzeug,6
sham,19,Spielzeug,0
sham,15,Spielzeug,9
sham,24,Spielzeug,9
sham,22,Spielzeug,8
sham,28,Früchte,15
sham,23,Früchte,10
sham,14,Früchte,17
sham,18,Früchte,8
sham,25,Früchte,19
sham,8,Früchte,9
sham,28,Sportarten,14
sham,23,Sportarten,16
sham,14,Sportarten,12
sham,18,Sportarten,12
sham,25,Sportarten,10
sham,8,Sportarten,21
sham,28,Tiere,11
sham,23,Tiere,19
sham,14,Tiere,16
sham,18,Tiere,17
sham,25,Tiere,23
sham,8,Tiere,36
sham,28,Fische,14
sham,23,Fische,10
sham,14,Fische,7
sham,18,Fische,5
sham,25,Fische,6
sham,8,Fische,11
sham,28,Metalle,6
sham,23,Metalle,11
sham,14,Metalle,6
sham,18,Metalle,1
sham,25,Metalle,6
sham,8,Metalle,5
sham,28,Süßigkeiten,8
sham,23,Süßigkeiten,9
sham,14,Süßigkeiten,9
sham,18,Süßigkeiten,3
sham,25,Süßigkeiten,12
sham,8,Süßigkeiten,26
sham,12,Berufe,9
sham,20,Berufe,10
sham,11,Berufe,7
sham,26,Berufe,11
sham,17,Berufe,13
sham,30,Berufe,13
sham,12,Getränke,16
sham,20,Getränke,8
sham,11,Getränke,8
sham,26,Getränke,5
sham,17,Getränke,13
sham,30,Getränke,9
sham,12,Kleidungsstücke,11
sham,20,Kleidungsstücke,12
sham,11,Kleidungsstücke,9
sham,26,Kleidungsstücke,21
sham,17,Kleidungsstücke,13
sham,30,Kleidungsstücke,15
sham,12,Geschirr,9
sham,20,Geschirr,8
sham,11,Geschirr,7
sham,26,Geschirr,2
sham,17,Geschirr,4
sham,30,Geschirr,12
sham,12,Insekten,4
sham,20,Insekten,11
sham,11,Insekten,5
sham,26,Insekten,7
sham,17,Insekten,11
sham,30,Insekten,4
sham,12,Kosmetik,4
sham,20,Kosmetik,6
sham,11,Kosmetik,5
sham,26,Kosmetik,5
sham,17,Kosmetik,3
sham,30,Kosmetik,5
sham,31,Autoteile,14
sham,27,Autoteile,8
sham,21,Autoteile,13
sham,10,Autoteile,14
sham,13,Autoteile,13
sham,16,Autoteile,8
sham,31,Gewürze,11
sham,27,Gewürze,10
sham,21,Gewürze,7
sham,10,Gewürze,5
sham,13,Gewürze,5
sham,16,Gewürze,7
sham,31,Lebensmittel,20
sham,27,Lebensmittel,15
sham,21,Lebensmittel,18
sham,10,Lebensmittel,18
sham,13,Lebensmittel,19
sham,16,Lebensmittel,7
sham,31,Bäume,9
sham,27,Bäume,4
sham,21,Bäume,12
sham,10,Bäume,9
sham,13,Bäume,7
sham,16,Bäume,6
sham,31,Blumen,11
sham,27,Blumen,0
sham,21,Blumen,6
sham,10,Blumen,3
sham,13,Blumen,10
sham,16,Blumen,4
sham,31,Werkzeug,7
sham,27,Werkzeug,6
sham,21,Werkzeug,12
sham,10,Werkzeug,15
sham,13,Werkzeug,5
sham,16,Werkzeug,4
IFG,9,Früchte,12
IFG,29,Früchte,18
IFG,15,Früchte,11
IFG,27,Früchte,12
IFG,22,Früchte,7
IFG,16,Früchte,7
IFG,9,Sportarten,23
IFG,29,Sportarten,8
IFG,15,Sportarten,13
IFG,27,Sportarten,16
IFG,22,Sportarten,10
IFG,16,Sportarten,10
IFG,9,Tiere,18
IFG,29,Tiere,22
IFG,15,Tiere,16
IFG,27,Tiere,11
IFG,22,Tiere,17
IFG,16,Tiere,10
IFG,9,Fische,4
IFG,29,Fische,10
IFG,15,Fische,8
IFG,27,Fische,5
IFG,22,Fische,13
IFG,16,Fische,6
IFG,9,Metalle,7
IFG,29,Metalle,4
IFG,15,Metalle,3
IFG,27,Metalle,3
IFG,22,Metalle,4
IFG,16,Metalle,5
IFG,9,Süßigkeiten,12
IFG,29,Süßigkeiten,8
IFG,15,Süßigkeiten,8
IFG,27,Süßigkeiten,4
IFG,22,Süßigkeiten,7
IFG,16,Süßigkeiten,2
IFG,28,Gemüse,10
IFG,23,Gemüse,11
IFG,14,Gemüse,12
IFG,26,Gemüse,11
IFG,17,Gemüse,9
IFG,8,Gemüse,15
IFG,28,Körperteile,20
IFG,23,Körperteile,11
IFG,14,Körperteile,19
IFG,26,Körperteile,14
IFG,17,Körperteile,10
IFG,8,Körperteile,26
IFG,28,Musikinstrumente,22
IFG,23,Musikinstrumente,10
IFG,14,Musikinstrumente,8
IFG,26,Musikinstrumente,14
IFG,17,Musikinstrumente,7
IFG,8,Musikinstrumente,18
IFG,28,Gartengeräte,7
IFG,23,Gartengeräte,1
IFG,14,Gartengeräte,7
IFG,26,Gartengeräte,2
IFG,17,Gartengeräte,6
IFG,8,Gartengeräte,11
IFG,28,Möbel,7
IFG,23,Möbel,6
IFG,14,Möbel,7
IFG,26,Möbel,6
IFG,17,Möbel,6
IFG,8,Möbel,21
IFG,28,Spielzeug,8
IFG,23,Spielzeug,4
IFG,14,Spielzeug,6
IFG,26,Spielzeug,5
IFG,17,Spielzeug,5
IFG,8,Spielzeug,24
IFG,19,Berufe,10
IFG,31,Berufe,11
IFG,21,Berufe,9
IFG,24,Berufe,17
IFG,10,Berufe,14
IFG,13,Berufe,16
IFG,19,Getränke,5
IFG,31,Getränke,16
IFG,21,Getränke,12
IFG,24,Getränke,12
IFG,10,Getränke,9
IFG,13,Getränke,8
IFG,19,Kleidungsstücke,14
IFG,31,Kleidungsstücke,18
IFG,21,Kleidungsstücke,16
IFG,24,Kleidungsstücke,15
IFG,10,Kleidungsstücke,11
IFG,13,Kleidungsstücke,9
IFG,19,Geschirr,2
IFG,31,Geschirr,11
IFG,21,Geschirr,13
IFG,24,Geschirr,13
IFG,10,Geschirr,9
IFG,13,Geschirr,6
IFG,19,Insekten,6
IFG,31,Insekten,5
IFG,21,Insekten,4
IFG,24,Insekten,13
IFG,10,Insekten,6
IFG,13,Insekten,5
IFG,19,Kosmetik,8
IFG,31,Kosmetik,5
IFG,21,Kosmetik,14
IFG,24,Kosmetik,7
IFG,10,Kosmetik,6
IFG,13,Kosmetik,5
IFG,12,Autoteile,13
IFG,20,Autoteile,7
IFG,11,Autoteile,5
IFG,18,Autoteile,14
IFG,30,Autoteile,13
IFG,25,Autoteile,15
IFG,12,Gewürze,7
IFG,20,Gewürze,7
IFG,11,Gewürze,9
IFG,18,Gewürze,7
IFG,30,Gewürze,8
IFG,25,Gewürze,8
IFG,12,Lebensmittel,12
IFG,20,Lebensmittel,15
IFG,11,Lebensmittel,9
IFG,18,Lebensmittel,7
IFG,30,Lebensmittel,17
IFG,25,Lebensmittel,23
IFG,12,Bäume,5
IFG,20,Bäume,12
IFG,11,Bäume,7
IFG,18,Bäume,7
IFG,30,Bäume,7
IFG,25,Bäume,3
IFG,12,Blumen,5
IFG,20,Blumen,5
IFG,11,Blumen,0
IFG,18,Blumen,7
IFG,30,Blumen,5
IFG,25,Blumen,5
IFG,12,Werkzeug,4
IFG,20,Werkzeug,8
IFG,11,Werkzeug,4
IFG,18,Werkzeug,4
IFG,30,Werkzeug,9
IFG,25,Werkzeug,10
preSMA,9,Autoteile,14
preSMA,28,Autoteile,15
preSMA,19,Autoteile,12
preSMA,14,Autoteile,16
preSMA,24,Autoteile,22
preSMA,22,Autoteile,10
preSMA,9,Gewürze,9
preSMA,28,Gewürze,6
preSMA,19,Gewürze,5
preSMA,14,Gewürze,11
preSMA,24,Gewürze,8
preSMA,22,Gewürze,8
preSMA,9,Lebensmittel,16
preSMA,28,Lebensmittel,17
preSMA,19,Lebensmittel,11
preSMA,14,Lebensmittel,17
preSMA,24,Lebensmittel,9
preSMA,22,Lebensmittel,11
preSMA,9,Bäume,6
preSMA,28,Bäume,12
preSMA,19,Bäume,6
preSMA,14,Bäume,17
preSMA,24,Bäume,11
preSMA,22,Bäume,7
preSMA,9,Blumen,4
preSMA,19,Blumen,5
preSMA,14,Blumen,11
preSMA,24,Blumen,6
preSMA,22,Blumen,5
preSMA,9,Werkzeug,9
preSMA,28,Werkzeug,8
preSMA,19,Werkzeug,7
preSMA,14,Werkzeug,6
preSMA,24,Werkzeug,7
preSMA,22,Werkzeug,5
preSMA,29,Berufe,11
preSMA,23,Berufe,11
preSMA,15,Berufe,5
preSMA,18,Berufe,14
preSMA,25,Berufe,13
preSMA,8,Berufe,13
preSMA,29,Getränke,14
preSMA,23,Getränke,10
preSMA,15,Getränke,16
preSMA,18,Getränke,6
preSMA,25,Getränke,8
preSMA,8,Getränke,21
preSMA,29,Kleidungsstücke,12
preSMA,23,Kleidungsstücke,14
preSMA,15,Kleidungsstücke,17
preSMA,18,Kleidungsstücke,6
preSMA,25,Kleidungsstücke,13
preSMA,8,Kleidungsstücke,23
preSMA,29,Geschirr,8
preSMA,23,Geschirr,3
preSMA,15,Geschirr,15
preSMA,18,Geschirr,5
preSMA,25,Geschirr,3
preSMA,8,Geschirr,19
preSMA,29,Insekten,7
preSMA,23,Insekten,5
preSMA,15,Insekten,12
preSMA,18,Insekten,11
preSMA,25,Insekten,3
preSMA,8,Insekten,12
preSMA,29,Kosmetik,4
preSMA,23,Kosmetik,3
preSMA,15,Kosmetik,12
preSMA,18,Kosmetik,7
preSMA,25,Kosmetik,10
preSMA,8,Kosmetik,12
preSMA,12,Gemüse,10
preSMA,27,Gemüse,6
preSMA,21,Gemüse,2
preSMA,30,Gemüse,14
preSMA,10,Gemüse,0
preSMA,16,Gemüse,4
preSMA,12,Körperteile,17
preSMA,27,Körperteile,10
preSMA,21,Körperteile,13
preSMA,30,Körperteile,18
preSMA,10,Körperteile,20
preSMA,16,Körperteile,6
preSMA,12,Musikinstrumente,7
preSMA,27,Musikinstrumente,8
preSMA,21,Musikinstrumente,12
preSMA,30,Musikinstrumente,9
preSMA,10,Musikinstrumente,7
preSMA,16,Musikinstrumente,4
preSMA,12,Gartengeräte,6
preSMA,27,Gartengeräte,11
preSMA,21,Gartengeräte,8
preSMA,30,Gartengeräte,6
preSMA,10,Gartengeräte,4
preSMA,16,Gartengeräte,5
preSMA,12,Möbel,7
preSMA,27,Möbel,4
preSMA,21,Möbel,11
preSMA,30,Möbel,13
preSMA,10,Möbel,5
preSMA,16,Möbel,5
preSMA,12,Spielzeug,7
preSMA,27,Spielzeug,7
preSMA,21,Spielzeug,10
preSMA,30,Spielzeug,8
preSMA,10,Spielzeug,9
preSMA,16,Spielzeug,4
preSMA,31,Früchte,15
preSMA,20,Früchte,8
preSMA,11,Früchte,4
preSMA,26,Früchte,10
preSMA,17,Früchte,8
preSMA,13,Früchte,11
preSMA,31,Sportarten,14
preSMA,20,Sportarten,13
preSMA,11,Sportarten,12
preSMA,26,Sportarten,10
preSMA,17,Sportarten,14
preSMA,13,Sportarten,13
preSMA,31,Tiere,14
preSMA,20,Tiere,17
preSMA,11,Tiere,15
preSMA,26,Tiere,16
preSMA,17,Tiere,10
preSMA,13,Tiere,14
preSMA,31,Fische,9
preSMA,20,Fische,8
preSMA,11,Fische,3
preSMA,26,Fische,7
preSMA,17,Fische,8
preSMA,13,Fische,10
preSMA,31,Metalle,6
preSMA,20,Metalle,6
preSMA,11,Metalle,5
preSMA,26,Metalle,2
preSMA,17,Metalle,1
preSMA,13,Metalle,5
preSMA,31,Süßigkeiten,13
preSMA,20,Süßigkeiten,10
preSMA,11,Süßigkeiten,2
preSMA,26,Süßigkeiten,3
preSMA,17,Süßigkeiten,2
preSMA,13,Süßigkeiten,8
