original_transcription	corrected_spelling	other_variant_1	other_variant_2	other_name	split_compound_1	split_compound_2	split_compound_3
squasch	squash	x	x	x	x	x	x
klemmsteine	x	x	x	x	klemm-	steine	x
stelllampe	stehlampe	x	x	x	x	x	x
tassenhenkel	x	x	x	x	tassen	henkel	x
nasenwaermer	x	x	x	x	nasen	waermer	x
jackette	jackett	x	x	x	x	x	x
wasseraage	wasserwaage	x	x	x	x	x	x
kietsurfen	kitesurfen	x	x	x	x	x	x
sprinklanlage	sprinkleranlage	x	x	x	x	x	x
neonfisch	x	x	x	neonsalmler	neon	fisch	x
clownsfisch	clownfisch	x	x	x	clown	fisch	x
pfandkuchen	pfannkuchen	x	x	x	x	x	x
spetzi	spezi	x	x	x	x	x	x
sardienie	sardine	x	x	x	x	x	x
oblanten	oblaten	x	x	x	x	x	x
pokemonfiguren	x	x	x	x	pokemon	figuren	x
schmetterlingschwimmen	schmetterlingsschwimmen	x	x	x	x	x	x
flamigo	flamingo	x	x	x	x	x	x
schokoladenrosinen	x	x	x	schoko-rosinen	schokolade	rosinen	x
blattheuschrecken	x	x	x	blattschrecken	x	x	x
bueffelmozarrella	bueffelmozzarella	x	x	x	bueffel	mozzarella	x
fensterscheibenkurbel	x	x	x	fensterkurbeln	fensterscheibe	kurbel	x
heckencutter	x	x	x	heckenschere	hecke	cutter	x
schokoschaumkuesse	x	x	x	x	x	x	x
zebrapaerpling	x	x	x	x	zebra	sperling	x
mustkatnuss	muskatnuss	x	x	x	x	x	x
lkw-fahrer	lastkraftwagenfahrer	x	x	lastkraftwagenfahrer	lastkraftwagen	fahrer	x
kokosriegel	x	x	x	x	x	x	x
kanichen	kaninchen	x	x	x	x	x	x
mediumwasser	x	x	x	mineralwasser	medium	wasser	x
baellebahn	x	x	x	x	baelle	bahn	x
legobotstein	legobaustein	x	x	x	lego	baustein	x
fettstifte	x	filzstifte	x	x	fett	stifte	x
zitronenbrausebonbons	zitronenbrausebonbons	zitronenbonbons	x	x	zitronenbrause	bonbons	x
weisserhai	weisser hai	x	x	lamnidae carcharodon	weisser	hai	x
baskettball	basketball	x	x	x	x	x	x
fischermuetze	x	x	x	x	fischer	muetze	x
nachtschranko	nachtschrank	x	x	x	x	x	x
fleischteller	x	wurstteller	x	x	fleisch	teller	x
gieter	x	x	x	giesskanne	x	x	x
kompottschuessel	x	x	x	x	kompott	schuessel	x
cordhemd	x	x	x	x	cord	hemd	x
heckenschrer	heckenschere	x	x	x	x	x	x
cemballo	cembalo	x	x	x	x	x	x
klemmbausteine	x	x	x	x	klemm-	bausteine	x
bungee-jumping	bungeejumping	x	x	x	bungee	jumping	x
honigpomelo	x	x	x	x	honig	pomelo	x
schmelzkeks	x	x	x	butterkeks	schmelz	keks	x
rasenmeher	rasenmaeher	x	x	x	x	x	x
johannesbeerlikoer	johannisbeerlikoer	x	x	x	johannisbeer	likoer	x
halbrundfeile	x	x	x	x	halbrund	feile	x
rasensprenkler	rasensprenger	x	x	x	x	x	x
sitzsaeule	x	x	x	x	sitz	saeule	x
ausklappcouch	x	x	x	klappcouch	x	x	x
wimpernfaerbemittel	x	x	x	x	wimpern	faerbemittel	x
gottesanbeter	x	x	x	x	x	x	x
janelken	x	x	x	nelken	x	x	x
bucherregal	buecherregal	x	x	x	x	x	x
reihenzieher	x	x	x	rechen	reihen	zieher	x
hausfliege	x	x	x	stubenfliege	haus	fliege	x
spriten	sprite	x	x	x	x	x	x
mandalabuch	mandala-buch	x	x	malbuch	mandala	buch	x
tamk	tank	x	x	x	x	x	x
klauenfisch	clownfisch	x	x	x	clown	fisch	x
gruenerteee	x	x	x	gruentee	gruener	tee	x
ananasaft	ananassaft	x	x	x	x	x	x
eukalyptustee	x	x	x	x	eukalyptus	tee	x
klempnerin	x	x	x	klempner	x	x	x
moeren	moehren	x	x	karotten	x	x	x
gastronomiefacharbeiterin	x	x	x	x	gastronomie 	facharbeiter	x
plattpfirsich	x	x	x	flachpfirsich 	platt	pfirsich	x
clownsfische	clownfische	x	x	x	clown	fisch	x
eine spielzeugwerkbank	spielzeugwerkbank	spielwerkbank	x	x	spielzeug	werkbank	x
e guitare	x	x	x	x	elektrische	gitarre	x
bananenweizen	eisensaege	bananenweizenbier	x	x	bananen	weizen	x
johannesbeere	johannisbeere	x	x	x	x	x	x
leoffel	loeffel	x	x	x	x	x	x
aktionfiguren	actionfiguren	action-figuren	x	x	action	figuren	x
antipickelcrem	antipickelcreme	x	x	x	anti-pickel	crème	x
dragonfruits	drachenfrucht	x	x	pitaya	x	x	x
handaussenflaeche	x	x	x	x	hand	aussenflaeche	x
pharmazeutiker	x	x	x	apotheker	x	x	x
arkordeon	akkordeon	x	x	x	x	x	x
kuerschtbaum	kirschbaum	x	x	x	x	x	x
teufels(...)	x	x	x	x	teufel	x	x
smaragdkaefer	x	x	x	smaragdfallkaefer	smaragd	kaefer	x
kalpiko	calpico	x	x	x	calpico	soda	x
gesichtsreinigungsgel	gesichtsreinigungsgel	x	x	x	gesicht	reinigung	gel
kugelwerfen	x	x	x	kugelstossen	kugel	werfen	x
milkaschokolade	x	x	x	vollmilchschokolade	milka	schokolade	x
pommesgewuerz	x	x	x	x	pommes	gewuerz 	x
criquet	cricket	kricket	x	x	x	x	x
baumfaellgeraet	x	x	x	baumfaeller	baum	faell	geraet
pouder	puder	x	x	powder	x	x	x
schreibstuhl	x	x	x	schreibtischstuhl	x	x	x
gluhwein	gluehwein	x	x	x	x	x	x
fruchtsorbet	x	x	x	fruchteis	frucht	sorbet	x
astzerkleinerer	x	x	x	x	ast	zerkleinerer	x
krawlen	kraulen	x	x	kraulschwimmen	x	x	x
dreierhop	x	x	x	dreisprung	x	x	x
lippentusche	x	x	x	lippenstift	x	x	x
skorpionsfisch	skorpionfisch	x	x	x	skorpion	fisch	x
fuchsspanz	fuchsschwanz	x	x	x	x	x	x
hundertfuessler	hundertfuesser	x	x	tausendfuesser	x	x	x
kuehlfluessigkeitsbehaelter	x	x	x	x	kuehlfluessigkeit	behaelter	x
karamellwaffel	x	x	x	x	karamell	waffel	x
traube-	x	x	x	x	traube	x	x
basektball	basketball	x	x	x	x	x	x
sperrwerfen	speerwerfen	x	x	speerwurf	x	x	x
halfterfische	x	x	x	x	halfter	fisch	x
dreierbob	x	x	x	viererbob	x	x	x
lanternfisch	laternenfisch	x	x	myctophidae	laternen	fisch	x
brocolli	broccoli	brokkoli	x	x	x	x	x
stiefe	stiefel	x	x	x	x	x	x
kaenzebluemchen	gaensebluemchen	x	x	x	x	x	x
schaltknuepel	schaltknueppel	x	x	schalthebel	x	x	x
harcke	harke	x	x	x	x	x	x
rosstkastanie	rosskastanie	x	x	x	x	x	x
maoams	x	x	x	fruchtkaubonbons	x	x	x
scheibenwischwassertank	scheibenwischerwassertank	x	x	x	scheibenwischer	wassertank	x
wienerwuerstchen	wiener wuerstchen	heisswuerstchen	x	x	wiener	wuerstchen	x
spielzeugtaxi	spielzeug-taxi	spielzeugtaxi	x	spielzeugauto	spielzeug	taxi	x
spagel	spargel	x	x	x	x	x	x
spielzeugfeuerwehr	x	x	x	x	spielzeug	feuerwehr	x
esspapieri	esspapier	x	x	x	essen	papier	x
heckentrimmer	x	x	x	x	hecken	trimmer	x
badmington	badminton	x	x	x	x	x	x
mtas	medizinisch-technischer assistent	x	x	x	medizinisch-technischer	assistent	x
spritzring	x	x	x	spritzkuchen 	spritz	ring	x
schokocrossis	schokocrossies	x	x	schokocrossies	x	x	x
untererruecken	x	x	x	x	unterer 	ruecken	x
sossenterrine	x	x	x	x	sossen	terrine	x
ice-skating	x	x	x	eislaufen	x	x	x
fliessenleger	fliesenleger	x	x	x	x	x	x
trauerfliegen	x	x	x	trauermuecke	x	x	x
grasshuepfer	grashuepfer	x	x	x	x	x	x
fraesien	freesien	x	x	x	x	x	x
nielpferd	nilpferd	x	x	x	x	x	x
wasseermelone	wassermelone	x	x	x	x	x	x
erdlockerer	x	grubber	handkultivator	x	erd	lockerer	x
joghurtgetraenke	x	x	x	x	joghurt	getraenke	x
eisstee	eistee	x	x	x	x	x	x
lycheesaft	x	x	x	x	lychee	saft	x
brausepullver	brausepulver	x	x	x	x	x	x
sesselhocker	x	x	x	x	sessel	hocker	x
hollywood-schaukel	hollywoodschaukel	x	x	x	hollywood	schaukel	x
streckjacke	strickjacke	x	x	x	x	x	x
haltstuch	halstuch	x	x	x	x	x	x
wuerzing	wirsing	x	x	x	x	x	x
pfaunenauge	pfauenauge	x	x	x	x	x	x
blaukohl	x	x	x	rotkohl	x	x	x
spuehlbecken	spuelbecken	x	x	x	x	x	x
jockelbeere	jochelbeere	x	x	jostabeere	x	x	x
automatikgangvorrichtung	x	x	x	x	automatikauto	gangschaltung	vorrichtung
plastikpistole	x	x	x	spielzeugpistole	plastik	pistole	x
meidizinerin	medizinerin	x	x	x	x	x	x
sprungbett	sprungbrett	x	x	x	x	x	x
tiegerhai	tigerhai	x	x	x	x	x	x
karfen	karpfen	x	x	x	x	x	x
taubenfuessler	tausendfuesser	x	x	x	x	x	x
radrennfahren	rennradfahren	x	x	x	x	x	x
galiamelone	x	x	x	x	galia	melone	x
cornflacks	cornflakes	x	x	x	corn	flakes	x
kreisssaege	kreissaege	x	x	x	x	x	x
tortilla-chips	tortillachips	x	x	x	tortilla	chips	x
waldmeisterbrause	x	x	x	x	waldmeister	brause	x
astschneider	x	x	x	astschere	ast	schneider	x
muehlmaus	wuehlmaus	x	x	x	x	x	x
scheibenheber	x	scheibenkurbel	x	x	scheiben	heber	x
fliesenlegerin	x	x	x	fliesenleger	fliesen	legerin	x
litschie	lychee	x	x	x	x	x	x
brockoli	broccoli	brokkoli	x	x	x	x	x
keeboard	keyboard	x	x	x	x	x	x
archodeon	akkordeon	x	x	x	x	x	x
kugelwurf	x	x	x	kugelstoss	kugel	wurf	x
mikromeh	x	x	x	x	x	x	x
autodecke	x	x	x	autodach	auto	decke	x
pflueckhilfe	x	x	x	obstpfluecker	pflueck-	hilfe	x
kalvier	klavier	x	x	x	x	x	x
knoechelsoeckchen	x	knoechelsocken	sneakersocken	x	knoechel	socken	x
autoscheibenreinigungs aktivierungsknopf	autoscheibenreinigungsaktivierungsknopf	x	x	x	autoscheibe	reiningung	aktivierungsknopf
skarabeuskaefer	skarabaeuskaefer	skarabaeus-kaefer	x	x	skarabaeus	kaefer	x
papageienfisch	papageifisch	x	x	parrotfish	papagei	fisch	x
speererfen	speerwerfen	x	x	speerwurf	x	x	x
bannane	banane	x	x	x	x	x	x
zitronen(...)	x	x	x	x	zitrone	x	x
sherryglas	sherryglas	x	x	x	sherry	glas	x
schmetterl(ing)	schmetterling	x	x	x	x	x	x
chlaviechord	clavichord	klavichord	x	x	x	x	x
jaegertee	jagertee	jagatee	jager-tee	punsch	x	x	x
lackritze	lakritz	lakritze	x	x	x	x	x
offenkaese	ofenkaese	x	x	x	x	x	x
goettesanbeter	gottesanbeterin	x	x	x	x	x	x
einerbob	x	x	x	monobob	einer	bob	x
tachoanzeigen	x	tachometer	x	tacho	tacho	anzeigen	x
kindercountry	x	x	x	x	kinder	country	x
emailletopf	x	x	x	x	emaille	topf	x
bacardirum	x	x	x	x	bacardi	rum	x
tigerfisch	x	x	x	tigersalmler	tiger	fisch	x
hanfbogen	x	x	x	bogenhanf	x	x	x
gartenschaufel	x	x	x	x	garten	schaufel	x
qa-entwickler	qa entwickler	x	x	quality assurance developer	x	x	x
legoturm	x	x	x	x	lego	turm	x
wuersing	wirsing	x	x	x	x	x	x
grapefrucht	grapefruit	kuerbisorange	melonenorange	x	x	x	x
schlitzbohrer	x	x	x	x	schlitz	bohrer	x
schwiebel	zwiebel	x	x	x	x	x	x
autolehne	x	x	x	x	auto	lehne	x
suesswasserbarsch	x	x	x	x	suesswasser	barsch	x
spitzhacker	spitzhacke	x	x	x	x	x	x
weingummies	weingummis	fruchtgummi	x	x	x	x	x
gaenseblume	gaensebluemchen	x	x	x	x	x	x
nachtfaunauge	nachtpfauenauge	x	x	x	x	x	x
haushaltsschrank	x	x	x	x	haushalt	schrank	x
lutschpasteln	lutschpastillen	x	x	x	x	x	x
echsler	haecksler	x	x	x	x	x	x
thalium	thallium	x	x	x	x	x	x
jaete	x	x	jaeter	x	x	x	x
bircke	birke	x	x	x	x	x	x
blattschneiderarmeisen	blattschneiderameise	x	x	x	x	x	x
karafell	karamell	x	x	x	x	x	x
esstaebchen	essstaebchen	x	x	x	x	x	x
bjj	x	x	brazilian jiu-jitsu	brazilian	jiu-jitsu	x	x
kuechenschraenker	kuechenschraenke	x	x	x	x	x	x
pflanzhilfe	x	zwiebelpflanzer	x	x	x	x	x
zeibling	saibling	x	x	x	x	x	x
erdnussriegel	x	nussriegel	x	x	erdnuss	riegel	x
johannisbeere-	johannisbeere	x	x	x	x	x	x
legosets	x	bauklotzsammlung	x	x	lego	set	x
rodium	rhodium	x	x	x	x	x	x
babyborn	x	babypuppe	x	x	x	x	x
chimchila	chinchilla	x	x	x	x	x	x
jochelbeeren	x	x	x	jostabeere	x	x	x
muthai	muaythay	x	x	x	x	x	x
kirchbaum	kirschbaum	x	x	x	x	x	x
netzwerkingenieur	x	network engineer	x	x	netzwerk	ingenieur	x
pocherie	x	x	x	x	x	x	x
kannichen	kaninchen	x	x	x	x	x	x
benzinklappe	x	x	x	benzindeckel	benzin	klappe	x
diamandsaege	diamantsaege	x	x	x	x	x	x
pinje	pinie	x	x	x	x	x	x
flip-flops	flip flops	zehentrenner	x	x	x	x	x
kiwibaum	x	x	x	kiwipflanze	x	x	x
buchehecker	buchecker	x	x	x	x	x	x
alligatorhecht	x	kaimanfisch	x	x	x	x	x
nusschokolade	nussschokolade	x	x	x	x	x	x
wahlhaie	walhai	x	x	x	x	x	x
nielpferde	nilpferd	x	x	x	x	x	x
nudelgreifer	x	spaghettizange	nudelheber	x	x	x	x
eisensaegen	eisensaege	x	x	x	x	x	x
bergpfirsich	x	plattpfirsich	x	x	x	x	x
inbusschraubenzieher	inbus-schraubenzieher	x	x	inbus-schraubendreher	x	x	x
schweibenschwaenzchen	schwalbenschwaenzchen	x	x	x	x	x	x
riefenpfanne	x	x	x	x	riefen	pfanne	x
paraglagliding	paragliding	x	x	x	x	x	x
blobfisch	blobfish	x	x	x	x	x	x
seegeln	segeln	x	x	x	x	x	x
garderobenbuegel	x	x	x	x	garderobe	buegel	x
candyszucker	candiszucker	 candis	x	x	x	x	x
feutigskeitmaske	feuchtigkeitsmaske	x	x	x	x	x	x
rhababerschorle	rhabarberschorle	x	x	x	x	x	x
kummin	kumin	cumin	kreuzkuemmel	x	x	x	x
plastikhandschein	x	x	x	x	plastik	handschein	x
feuchtigskeitcreme	feuchtigkeitscreme	x	x	x	x	x	x
kaiserfalter	x	x	x	x	kaiser	falter	x
fuenfercouch	x	x	x	fuenfsitzercouch	x	x	x
johannesbeersaft	johannisbeersaft	x	x	x	x	x	x
akustik-gitarre	akustikgitarre	x	x	x	x	x	x
kangeroo	kaenguru	x	x	x	x	x	x
seibling	saibling	x	x	x	x	x	x
handesaege	handsaege	x	x	x	x	x	x
autowischer	x	x	x	scheibenwischer	x	x	x
knutlauchsalz	knoblauchsalz	x	x	x	x	x	x
haferflock(en)	haferflocken	x	x	x	x	x	x
high-knees	x	x	x	x	high	knees	x
schokorosinen	x	schokoladen-rosinen	x	x	x	x	x
matrazenbett	matratzenbett	x	x	x	x	x	x
hexler	haecksler	x	x	x	x	x	x
bewegungskissen	x	x	x	x	bewegungs	kissen	x
skaraben	skarabaeen	skarabaeus	skarabaeuskaefer	x	x	x	x
kellerasse	kellerassel	x	x	x	x	x	x
racketenphysiker	raketenphysiker	x	x	x	raketen	physiker	x
galiermelone	galiamelone	x	x	x	x	x	x
schokoladennuesse	x	x	x	schokonuesse	x	x	x
kurbis	kuerbis	x	x	x	x	x	x
benzindeckel	benzindeckel	x	x	tankdeckel	x	x	x
gerstentee	x	x	x	x	gersten	tee	x
kastanje	kastanie	x	x	x	x	x	x
mentille	mantille	x	x	x	x	x	x
pfefferkerne	pfefferkoerner	x	x	x	x	x	x
packetlieferand	paketlieferant	x	x	x	x	x	x
zahnduster	zahnpasta	x	x	x	x	x	x
bassguitare	bassgitarre	x	x	x	x	x	x
huppeseil	x	x	x	springseil	x	x	x
poolstaubsauger	x	x	x	poolsauger	x	x	x
dreibeinsprung	x	x	x	dreisprung	drei	bein	sprung
zierkoerscher	zierkirsche	x	x	x	x	x	x
augenbrauenzupfer	x	augenbrauenpinzette	x	x	x	x	x
martiniglaeser	x	x	x	x	x	x	x
fliegendefische	fliegende fische	x	x	x	fliegende	fische	x
pflauenbaum	pflaumenbaum	x	x	x	x	x	x
kirchererbsen	kichererbsen	x	x	x	x	x	x
sossenschalen	x	x	x	x	sossen	schalen	x
rauszieher	x	x	x	x	raus	zieher	x
heildenbeeren	heidelbeeren	x	x	x	x	x	x
lockfuehrerin	lokfuehrerin	x	x	x	x	x	x
spattel	spatel	x	x	x	x	x	x
keksriegel	x	x	x	x	keks	riegel	x
kreisaege	kreissaege	x	x	x	x	x	x
tempomesser	x	x	x	x	tempo	messer	x
fusspann	fussspann	x	x	x	x	x	x
kuechensaeule	x	x	x	x	kuechen	saeule	x
gruenebohnen	gruene bohne	brechbohne	x	x	x	x	x
bwl-er	betriebswirtschaftler	x	x	x	x	x	x
periodenunterwaesche	x	x	x	x	perioden	unterwaesche	x
gewuerznekeln	gewuerznelken	x	x	x	x	x	x
steuerknueppel	x	x	x	x	steuer	knueppel	x
heimbuche	hainbuche	x	x	x	x	x	x
hirschhornkaefer	x	x	x	hirschkaefer	hirsch	kaefer	x
klaunfisch	clownfisch	x	x	x	x	x	x
volkornbrot	vollkornbrot	x	x	x	x	x	x
jackenstaender	x	x	x	x	jacken	staender	x
ein furchenzieher	furchenzieher	x	x	x	furchen	zieher	x
lebensmittelkonserven	x	x	x	x	lebensmittel	konserven	x
sitztasche	x	x	x	x	sitz	tasche	x
tausenfuessler	tausendfuesser	x	x	x	x	x	x
skarabaeuskaefer	x	x	x	x	skarabaeus	kaefer	x
lippenliner	x	x	x	x	lippen	liner	x
leopardenhai	x	x	x	x	leoparden	hai	x
guppi	regenbogenfisch	x	poecilia reticulata	x	x	x	x
schuesselsalat	x	x	salatschuessel	x	x	x	x
discwurf	diskuswurf	x	x	x	x	x	x
konzertguitare	konzertgitarre	x	x	x	x	x	x
oelanzeige	x	x	x	oelkontrollleuchte	oel	anzeige	x
konturierpuder	x	x	x	x	konturier	puder	x
nihonium	x	x	x	nihonium	x	x	x
akkuschauber	akkuschrauber	x	x	x	x	x	x
courthose	cordhose	x	x	x	x	x	x
hosenanzung	hosenanzug	x	x	x	x	x	x
feutigkeitstuecher	feuchtigkeitstuecher	x	x	x	x	x	x
bass-gitarre	bassgitarre	x	x	x	x	x	x
e guitarre	x	x	x	x	elektrische	gitarre	x
tierartzt	tierarzt	x	x	x	x	x	x
kaoraffe	karaffe	x	x	x	x	x	x
versicherungsfachangestellter	x	x	x	x	versicherung	fachangestellter	x
westernguitare	westerngitarre	x	x	x	x	x	x
apfelbirne	x	x	x	x	apfel	birne	x
sadelle	sardelle	x	x	x	x	x	x
rosensalz	x	x	x	x	rosen	salz	x
hefebier	x	x	x	x	hefe	bier	x
artischoke	artischocke	x	x	x	x	x	x
tabascus	tabasco	x	x	x	x	x	x
schokoladenwaffeln	x	x	x	x	schokoladen	waffeln	x
abnoettauchen	apnoetauchen	x	x	x	x	x	x
rhababerkuchen	rhabarberkuchen	x	x	x	x	x	x
lacross	lacrosse	x	x	x	x	x	x
kreuzfeile	x	x	x	x	kreuz	feile	x
kleinerfinger	kleiner finger	x	x	x	kleiner	finger	x
handppuppen	handpuppen	x	x	x	x	x	x
weinschorlen	x	x	x	x	wein	schorle	x
widerhopf	wiedehopf	x	x	x	x	x	x
goffel	goeffel	x	x	x	x	x	x
strassenradfahren	x	x	x	strassenradsport	x	x	x
flannelhemd	flanellhemd	x	x	x	x	x	x
kinoa	quinoa	x	x	x	x	x	x
scharlotte	schalotte	x	x	x	x	x	x
metallspielzeug	x	x	x	x	metall	spielzeug	x
orang-utan	orangutan	x	x	pongo	x	x	x
pralienenkaesten	pralinenkaesten	x	x	x	x	x	x
schwinefleisch	schweinefleisch	x	x	x	x	x	x
gaffaband	gaffer band	reparaturband	klebeband	x	x	x	x
handschubfach	handschuhfach	x	x	x	x	x	x
heinbuche	hainbuche	x	x	x	x	x	x
apfelsanft	apfelsaft	x	x	x	x	x	x
orangenlimo	x	x	x	x	orangen	limonade	x
pfoerster	foerster	x	x	x	x	x	x
hameisen	ameisen	x	x	x	x	x	x
flancken	flunken	x	x	flunkyball	x	x	x
kaffesahnebehaelter	x	milchkaennchen	x	x	kaffeesahne	behaelter	x
weinbrandt	weinbrand	brandy	x	x	x	x	x
keilrimen	keilriehmen	x	x	x	x	x	x
abdeckst(...)	x	x	x	x	x	x	x
fruehlingsglocken	x	x	x	narzissen	x	x	x
suessholzwurel	suessholzwurzel	x	x	x	x	x	x
karamellriegel	x	x	x	x	karamell	riegel	x
modelauto	modellauto	x	x	x	x	x	x
zuendschluesselvorrichtung	x	x	x	x	zuendschluessel	vorrichtung	x
sportlehr	sportlehrer	x	x	x	x	x	x
modelschiffe	modellschiffe	x	x	x	x	x	x
golfisch	goldfisch	x	x	x	x	x	x
strassenbauerin	x	x	x	strassenbauarbeiterin	x	x	x
kabelabisolierer	x	x	x	x	kabel	abisolierer	x
ganger?	x	x	x	x	x	x	x
essiggurcken	essiggurken	x	x	x	x	x	x
zwiebellauch	lauchzwiebel	x	x	x	x	x	x
killifisch	x	x	x	zahnkarpfen	x	x	x
salamanda	salamander	x	x	x	x	x	x
butterrbehaelter	butterbehaelter	x	x	x	x	x	x
tischlehr	tischler	x	x	x	x	x	x
bewaesserungsschlauch	x	x	x	x	bewaesserungs	schlauch	x
eintagesfliege	eintagsfliege	schmeissfliege	x	x	x	x	x
schokolinse	x	x	x	x	schokoladen	linsen	x
sperrwurf	speerwurf	x	x	x	x	x	x
kumpterspiele	computerspiele	x	x	x	x	x	x
okulele	ukulele	x	x	x	x	x	x
sprungelenk	sprunggelenk	x	x	x	x	x	x
mondharmonica	mundharmonika	x	x	x	x	x	x
tagfaunauge	tagpfauenauge	x	x	x	x	x	x
vogelstrauss	x	x	x	strauss	x	x	x
schafsgarbe	schafsgarbe	x	x	x	x	x	x
ausmalheft	x	ausmalbuch	x	x	ausmal	heft	x
hammster	hamster	x	x	x	x	x	x
boardkomputer	bordcomputer	x	x	x	x	x	x
stachelpalme	x	x	x	aiphanes	x	x	x
mammoutbaeume	mammutbaeume	x	x	x	x	x	x
eintachsenfliegen	eintagsfliegen	schmeissfliegen	x	x	x	x	x
elephantenkaefer	elefantenkaefer	x	x	x	x	x	x
trinkglass	x	x	x	x	trink	glass	x
kachon	cajon	x	x	x	x	x	x
e piano	e-piano	x	x	x	x	x	x
kaisel	kreisel	x	x	x	x	x	x
obereruecken	oberer ruecken	x	x	x	x	x	x
maiglocken	maigloeckchen	x	x	x	x	x	x
bohrmachine	bohrmaschine	x	x	x	x	x	x
plattstickchen	x	x	x	x	x	x	x
vorlichter	x	x	x	x	x	x	x
karbun	x	x	x	x	x	x	x
schnitlauch	schnittlauch	x	x	x	x	x	x
ein spielzeughaus	spielzeughaus	x	x	x	x	x	x
augenlinder	augenlider	x	x	x	x	x	x
fingermalfarbe	x	x	x	x	finger	malfarbe	x
feuchtigkeitcreme	feuchtigkeitscreme	x	x	x	x	x	x
frontalspiegel	x	x	x	x	frontal	spiegel	x
bremsleuchter	x	x	x	x	brems	leuchter	x
nuddeln	nudeln	x	x	x	x	x	x
stilleswasser	stilles wasser	x	x	x	x	x	x
himbeerbrause	x	x	x	x	himbeer	brause	x
schauffel	schaufel	x	x	x	x	x	x
myrre	myrrhe	x	x	x	x	x	x
schlagballweitwurf	x	x	x	x	schlagball	weitwurf	x
morueben	mohrrueben	karotten	moehren	x	x	x	x
lese-/ausmalbuch	x	x	x	x	lese	ausmal	buch
stossdempfer	stossdaempfer	x	x	x	x	x	x
abschminke	x	x	x	makeup-entferner	x	x	x
polypocket	pollypocket	x	x	x	x	x	x
schwarzertee	schwarzer tee	x	x	x	x	x	x
mundharmonica	mundharmonika	x	x	x	x	x	x
peiffe	pfeiffe	x	x	x	x	x	x
meerretich	meerrettich	x	x	x	x	x	x
schnacke	schnake	x	x	x	x	x	x
modelflugzeuge	modellflugzeug	x	x	x	x	x	x
karambola	karambole	carambola	x	sternfrucht	x	x	x
personalbegleiterin	x	x	x	x	personal	begleiterin	x
musikantenknochen	musikerknochen	x		ellennerv	x	x	x
dachscheibe	x	x	x	x	dach	scheibe	x
herkuleskaefer	herculeskaefer	x	x	x	herkules	kaefer	x
tassenschrank	x	x	x	x	tassen	schrank	x
pistazienbaum	x	x	x	pistazie	x	x	x
eridium	iridium	x	x	x	x	x	x
e eisenbahn	x	elektrische eisenbahn	x	x	x	x	x
reiseveranstaltungsmanagerin	x	x	x	x	reise	veranstaltung	managerin
yinc	zink	x	x	x	x	x	x
pflueckkorb	x	x	x	x	pflueck	korb	x
kokusnuesse	kokosnuesse	x	x	x	x	x	x
feilchen	veilchen	x	x	x	x	x	x
geleebohnen	x	x	x	x	gelee	bohnen	x